name,lat,lon,beds,operator,operator_type,osm_id,geom_type
مستشفى شاهين,34.437936,35.840632,,,,4923267521,Point
Al Irfan Hospital,33.675271,35.592275,,,,9135956837,Point
مستشفى دار الأمل الجامعي,33.983878,36.161145,,,,844253921,Polygon
CCCL,33.898956,35.484801,,,,9213700291,Point
الرسول الأعظم للقلب,33.843843,35.498947,,,,483236077,Polygon
مستشفى الحايك,33.870533,35.537979,,,,409961805,Polygon
مستشفى الناصرة,33.778251,35.907691,,,,1043115528,Polygon
Deir El Qamar Governmental Hospital,33.705129,35.57417,,,,1136344912,Polygon
El Hajj Hospital,33.98896,35.715161,,,,1041715172,Polygon
مستشفى النبطية الحكومي,33.3896,35.482849,,,,1053701650,Polygon
Islamic Hospital,34.442374,35.832394,,,,1052244722,Polygon
الصليب الأحمر اللبناني,33.258824,35.213435,,,,3893208566,Point
مستشفى سان جورج,33.83701,35.527,,,,311095794,Polygon
Hôpital Borgi,34.298878,35.821775,,,,1043703184,Polygon
مستشفى الشيخ راغب حرب,33.389183,35.440258,,,,1321433640,Polygon
مستشفى الشفاء,34.415918,35.843059,,,,327364735,Polygon
مستشفى الروم,33.894219,35.523949,,,,284813931,Polygon
,33.376239,35.616326,,,,474027855,Polygon
مستشفى البرج,33.842733,35.509325,,,,6501545587,Point
مستشفى بهمن,33.853549,35.506105,,,,519084764,Polygon
المركز الصحي المتطور,34.627838,36.318275,,,,1044458284,Polygon
مستشفى ضهر الباشق,33.882981,35.599083,,,,443538011,Polygon
Al Koura Hospital,34.349309,35.837799,,,,843483047,Polygon
Hôpital Tal Chiha,33.841094,35.905794,,,,302980705,Polygon
Al Iman Hospital,33.810568,35.61273,,,,835055600,Polygon
Salah Ghandour Hospital,33.130531,35.429713,,,,837924565,Polygon
Batroun Hospital,34.251358,35.666092,,,,790861847,Polygon
مستشفى الإقليم المركزي,33.613954,35.472167,,,,303743461,Point
مستشفی البيسار,34.43941,35.840235,,,,4522495797,Point
Universal Hospital,34.268937,36.400254,,,,1052267856,Polygon
Orange Nassau Governmental Hospital,34.442553,35.838405,,,,7824071079,Point
Khalaf Al Habtoor Hospital,34.46234,36.124682,,,,1116366311,Polygon
Kassab Hospital,33.568745,35.391633,,,,7820608343,Point
مستشفى بيت شباب,33.932448,35.675233,,,,993574780,Polygon
